UTC Timestamp,id,lat,lon,msgCnt,secMark,speed,size.VehicleSize_width,size.VehicleSize_length
2022-12-19 11:03:59.819569,159,423009752,-836978415,33,59812,142,190,450
2022-12-19 11:03:59.922393,159,423009752,-836978415,34,59915,140,190,450
2022-12-19 11:04:00.015902,159,423009761,-836978427,35,9,133,190,450
2022-12-19 11:04:00.115316,159,423009770,-836978439,36,105,127,190,450
2022-12-19 11:04:00.220118,159,423009761,-836978536,37,212,134,190,450
2022-12-19 11:04:00.320680,159,423009779,-836978548,38,313,133,190,450
2022-12-19 11:04:00.415445,159,423009779,-836978548,39,408,126,190,450
2022-12-19 11:04:00.517765,159,423009761,-836978645,40,511,135,190,450
2022-12-19 11:04:00.630830,159,423009770,-836978645,41,620,153,190,450
2022-12-19 11:04:00.734058,159,423009752,-836978742,42,726,158,190,450
2022-12-19 11:04:00.824085,159,423009761,-836978742,43,816,157,190,450
2022-12-19 11:04:00.923062,159,423009752,-836978839,44,916,149,190,450
2022-12-19 11:04:01.029653,159,423009761,-836978851,45,1023,153,190,450
2022-12-19 11:04:01.123781,159,423009761,-836978851,46,1117,150,190,450
2022-12-19 11:04:01.228401,159,423009743,-836978936,47,1222,141,190,450
2022-12-19 11:04:01.324556,159,423009752,-836978936,48,1317,129,190,450
2022-12-19 11:04:01.415853,159,423009761,-836978948,49,1409,134,190,450
2022-12-19 11:04:01.522138,159,423009770,-836978960,50,1514,131,190,450
2022-12-19 11:04:01.623696,159,423009770,-836978960,51,1616,124,190,450
2022-12-19 11:04:01.726558,159,423009761,-836979045,52,1719,131,190,450
2022-12-19 11:04:01.846422,159,423009761,-836979045,53,1838,129,190,450
2022-12-19 11:04:02.023547,159,423009743,-836979214,54,2016,153,190,450
2022-12-19 11:04:02.119398,159,423009743,-836979214,55,2112,158,190,450
2022-12-19 11:04:02.233340,159,423009734,-836979299,56,2225,155,190,450
2022-12-19 11:04:02.328495,159,423009743,-836979299,57,2321,147,190,450
2022-12-19 11:04:02.421430,159,423009761,-836979311,58,2413,150,190,450
